team,round_of_16,quarterfinals,semifinals,final,champion
Argentina,94.07,74.74,53.449999999999996,34.910000000000004,21.58
Spain,75.5,45.800000000000004,34.98,22.03,13.36
France,76.46,43.14,27.07,15.14,8.25
Germany,68.39,36.809999999999995,21.93,11.18,5.6899999999999995
Colombia,90.16999999999999,53.949999999999996,21.95,11.5,5.63
Portugal,63.949999999999996,30.680000000000003,19.82,10.92,5.6000000000000005
England,75.71,41.43,22.6,11.03,5.29
Brazil,55.35,37.34,21.16,10.24,5.17
Morocco,49.17,32.26,15.190000000000001,7.670000000000001,3.8600000000000003
Netherlands,50.83,32.62,15.459999999999999,7.449999999999999,3.3300000000000005
Belgium,63.43,41.02,16.13,7.5600000000000005,3.32
Ecuador,49.99,26.32,13.469999999999999,5.67,2.59
Japan,44.65,26.119999999999997,13.05,5.54,2.46
Mexico,50.01,25.6,12.35,5.45,2.34
Norway,57.269999999999996,23.119999999999997,10.23,4.05,1.47
Canada,67.47999999999999,26.900000000000002,10.23,3.7199999999999998,1.41
Croatia,36.05,13.750000000000002,7.37,3.2399999999999998,1.17
Switzerland,54.55,24.16,8.06,3.51,1.17
United States,74.11999999999999,29.609999999999996,8.92,3.17,1.06
Senegal,36.57,19.82,6.38,2.34,0.98
Austria,24.5,9.77,5.220000000000001,2.03,0.83
Algeria,45.45,19.79,6.710000000000001,2.76,0.83
Paraguay,31.61,12.57,5.19,1.9800000000000002,0.8
Australia,53.64,12.76,5.140000000000001,1.9800000000000002,0.7000000000000001
Ivory Coast,42.730000000000004,13.420000000000002,5.16,1.38,0.35000000000000003
Egypt,46.36,10.489999999999998,3.9899999999999998,1.26,0.29
Sweden,23.54,7.48,3.06,0.9299999999999999,0.19
DR Congo,24.29,6.65,1.9800000000000002,0.53,0.15
South Africa,32.519999999999996,8.219999999999999,1.87,0.41000000000000003,0.06
Cape Verde,5.93,2.01,0.48,0.15,0.03
Bosnia and Herzegovina,25.88,9.55,1.18,0.22999999999999998,0.03
Ghana,9.83,2.1,0.22,0.04,0.01
