team_a,team_b,predicted_outcome_from_team_a_perspective,team_a_win_probability,draw_probability,team_b_win_probability,team_a_advancement_probability,team_b_advancement_probability,predicted_advancing_team,round,match_number
Germany,Paraguay,win,0.5176278603930896,0.3220799463588528,0.16029219324805763,0.678667833572516,0.321332166427484,Germany,Round of 32,1
France,Sweden,win,0.6268751625768694,0.28064397471500585,0.09248086270812475,0.7671971499343723,0.23280285006562768,France,Round of 32,2
South Africa,Canada,loss,0.14499011690411218,0.35963639237245826,0.49537349072342945,0.3248083130903413,0.6751916869096586,Canada,Round of 32,3
Netherlands,Morocco,draw,0.3137559937026358,0.40518690767521515,0.2810570986221491,0.5163494475402434,0.4836505524597567,Netherlands,Round of 32,4
Portugal,Croatia,win,0.48917788642154875,0.30964780957730115,0.20117430400115016,0.6440017912101993,0.3559982087898007,Portugal,Round of 32,5
Spain,Austria,win,0.6240748311417912,0.25977977776654027,0.11614539109166853,0.7539647200250613,0.24603527997493868,Spain,Round of 32,6
United States,Bosnia and Herzegovina,win,0.6568635337515432,0.16925650810717524,0.17387995814128157,0.7414917878051308,0.2585082121948692,United States,Round of 32,7
Belgium,Senegal,win,0.48528956072515694,0.30128442127292693,0.2134260180019162,0.6359317713616204,0.3640682286383797,Belgium,Round of 32,8
Brazil,Japan,win,0.39511482869348596,0.3270964976044703,0.2777886737020437,0.5586630774957211,0.4413369225042788,Brazil,Round of 32,9
Ivory Coast,Norway,draw,0.23228223231638798,0.4034946540132963,0.3642231136703157,0.4340295593230361,0.5659704406769639,Norway,Round of 32,10
Mexico,Ecuador,draw,0.30003752007256707,0.3860946949190797,0.3138677850083532,0.4930848675321069,0.5069151324678931,Ecuador,Round of 32,11
England,DR Congo,win,0.6145565233620579,0.27941176582379745,0.10603171081414466,0.7542624062739567,0.24573759372604337,England,Round of 32,12
Argentina,Cape Verde,win,0.912023799675306,0.06127486856954258,0.026701331755151353,0.9426612339600773,0.05733876603992265,Argentina,Round of 32,13
Australia,Egypt,draw,0.3573792215303397,0.3744610392713766,0.26815973919828373,0.544609741166028,0.455390258833972,Australia,Round of 32,14
Switzerland,Algeria,win,0.36850301512775896,0.36168370088910173,0.2698132839831393,0.5493448655723099,0.4506551344276902,Switzerland,Round of 32,15
Colombia,Ghana,win,0.8416126730688578,0.12488036299364554,0.03350696393749678,0.9040528545656805,0.09594714543431955,Colombia,Round of 32,16
Germany,France,draw,0.2864950648345268,0.3746468097159372,0.338858125449536,0.4738184696924954,0.5261815303075046,France,Round of 16,1
Canada,Netherlands,draw,0.2076087254817298,0.4133943140514182,0.37899696046685205,0.4143058825074389,0.5856941174925612,Netherlands,Round of 16,2
Portugal,Spain,draw,0.22780528141196033,0.41495222886801836,0.35724248972002143,0.4352813958459695,0.5647186041540306,Spain,Round of 16,3
United States,Belgium,loss,0.1987979368637705,0.3279514116912424,0.47325065144498707,0.3627736427093917,0.6372263572906083,Belgium,Round of 16,4
Brazil,Norway,win,0.4474194810952748,0.3704138939522301,0.18216662495249503,0.6326264280713898,0.3673735719286101,Brazil,Round of 16,5
Ecuador,England,draw,0.25464949173791707,0.42133224103426165,0.3240182672278213,0.4653156122550479,0.5346843877449521,England,Round of 16,6
Argentina,Australia,win,0.652751095959651,0.2549423417598347,0.09230656228051433,0.7802222668395683,0.2197777331604317,Argentina,Round of 16,7
Switzerland,Colombia,draw,0.22060527393207274,0.3986738574859329,0.3807208685819944,0.41994220267503923,0.5800577973249609,Colombia,Round of 16,8
France,Netherlands,draw,0.3807951590586966,0.3891910696526013,0.23001377128870223,0.5753906938849973,0.4246093061150029,France,Quarterfinals,1
Spain,Belgium,win,0.6070832069505389,0.2505533658614764,0.1423634271879848,0.7323598898812771,0.267640110118723,Spain,Quarterfinals,2
Brazil,England,draw,0.3500496107716547,0.3536300041976477,0.2963203850306975,0.5268646128704786,0.47313538712952136,Brazil,Quarterfinals,3
Argentina,Colombia,win,0.5247747463234522,0.30896780138861324,0.16625745228793448,0.6792586470177588,0.3207413529822411,Argentina,Quarterfinals,4
France,Spain,draw,0.25039528560126617,0.392102034980281,0.3575026794184528,0.44644630309140665,0.5535536969085934,Spain,Semifinals,1
Brazil,Argentina,loss,0.20216260134077127,0.38114466007016906,0.4166927385890597,0.3927349313758558,0.6072650686241442,Argentina,Semifinals,2
Spain,Argentina,draw,0.3263360527652432,0.37437528482784344,0.2992886624069135,0.5135236951791649,0.4864763048208352,Spain,Final,1
