team,final_elo
Spain,2045.3385888401997
Argentina,2044.9532898386537
France,1987.8312269277776
Brazil,1948.2326058512933
Portugal,1946.4680352685627
Germany,1943.4857864601747
England,1938.966129826353
Colombia,1930.3371140588717
Netherlands,1917.3946456062192
Japan,1911.352154037231
Morocco,1905.899297324837
Italy,1893.36134506382
Ecuador,1890.814920704035
Croatia,1886.0486410166927
Belgium,1882.7806924684114
Mexico,1875.0420330881052
Turkey,1864.7721434960222
Denmark,1853.2844954962607
Uruguay,1852.506718730516
Switzerland,1848.2780378401703
Norway,1838.672032325235
Austria,1838.3329042634382
Iran,1825.0019058549947
South Korea,1821.9724722349024
Senegal,1821.8712765559226
Algeria,1820.0279093930478
Canada,1813.687237212535
United States,1810.9288124139914
Australia,1797.1217284404818
Paraguay,1791.6277800105604
Russia,1784.742669436742
Basque Country,1781.3235523873238
Ukraine,1772.2512931972792
Czech Republic,1767.9544026849337
Ivory Coast,1765.137754611267
Nigeria,1762.1410785387043
Hungary,1755.8569939846848
Poland,1754.8444771895113
Egypt,1751.8447029929
Scotland,1748.680765374247
Uzbekistan,1747.6307116331373
Sweden,1745.2773647683548
Serbia,1745.2717286126683
Jersey,1742.7288578206962
Greece,1732.7608057842906
Chile,1727.8341505097587
Yugoslavia,1727.1716219259372
Venezuela,1725.7929082426188
Panama,1724.2928096658068
Iraq,1714.4137793013383
Republic of Ireland,1713.262938349114
Slovenia,1710.159758474336
Czechoslovakia,1700.9282219666234
Catalonia,1694.6800894532075
Peru,1692.90145302786
Wales,1691.6101052692327
German DR,1691.449705964194
Kosovo,1687.8686294612082
Slovakia,1684.418151340053
Guernsey,1684.0335548845035
DR Congo,1683.7041790552244
Tunisia,1682.3998359933262
Jordan,1676.7596756576843
Costa Rica,1664.904544892501
Georgia,1664.615734225434
Cameroon,1661.57867399732
Romania,1657.7881241524997
Saudi Arabia,1654.2891850595786
Ynys Môn,1649.6398883060874
Mali,1646.103016769136
Isle of Man,1644.1047358590845
South Africa,1638.7834819877303
Israel,1637.7915224299843
United Arab Emirates,1637.4142132058682
Occitania,1630.179532483256
Bolivia,1629.326748569595
Bosnia and Herzegovina,1628.3536070052585
Padania,1626.5084774023385
Northern Cyprus,1625.778929960054
New Zealand,1624.1855492352433
Andalusia,1622.7779014059738
Isle of Wight,1620.6783851547157
Honduras,1617.8664284080203
Northern Ireland,1616.5808985710341
Burkina Faso,1614.741183557384
Cape Verde,1613.725543567525
Albania,1611.8335736813829
Jamaica,1609.1166440333022
Haiti,1600.564190919005
North Macedonia,1600.5212105376004
Kernow,1598.962930192918
Abkhazia,1595.0631688198375
Iceland,1593.4738385835626
Iraqi Kurdistan,1592.3216266661577
Oman,1581.9878556313217
Qatar,1579.9051435209224
Guatemala,1574.2634326274947
Rhodes,1572.810196735778
Corsica,1572.1061875826806
Finland,1569.1034138292048
Ghana,1568.2252513718292
County of Nice,1568.015215972503
Kárpátalja,1565.5081460733022
Belarus,1559.084959999608
Yorkshire,1555.3388728371608
Réunion,1553.322721358913
Ellan Vannin,1553.196192872828
Montenegro,1551.3889343464477
Galicia,1551.0925538160486
Tamil Eelam,1550.7242728147164
China,1549.5485964064974
Angola,1549.0184245025837
Thailand,1547.3206470849866
Artsakh,1547.272655641676
Kurdistan,1546.7120627060046
New Caledonia,1535.2424714455665
Arameans Suryoye,1534.3376025907205
Suriname,1532.200268383972
Vietnam,1531.0608748404231
Malaysia,1530.3690400997327
Panjab,1530.2989279375495
Maule Sur,1528.6802751485857
Cascadia,1528.3967740143921
Syria,1527.8497394175672
Brittany,1527.8290447151476
Bulgaria,1526.6263955650988
Libya,1525.5370577485355
Menorca,1524.194725822486
Palestine,1523.3278757410308
Canary Islands,1520.6028591024597
Bahrain,1520.5128067085498
Benin,1518.05035701758
Curaçao,1517.4755394102442
Gabon,1516.5446613841057
Biafra,1516.290895651233
Asturias,1516.264255770038
Chameria,1515.518941981069
Zanzibar,1514.728505432216
Silesia,1514.2945472248985
Surrey,1513.6113547886778
Parishes of Jersey,1513.5422819035891
