team,round_of_16,quarterfinals,semifinals,final,champion
Algeria,0.4545,0.1979,0.0671,0.0276,0.0083
Argentina,0.9407,0.7474,0.5345,0.3491,0.2158
Australia,0.5364,0.1276,0.0514,0.0198,0.007
Austria,0.245,0.0977,0.0522,0.0203,0.0083
Belgium,0.6343,0.4102,0.1613,0.0756,0.0332
Bosnia and Herzegovina,0.2588,0.0955,0.0118,0.0023,0.0003
Brazil,0.5535,0.3734,0.2116,0.1024,0.0517
Canada,0.6748,0.269,0.1023,0.0372,0.0141
Cape Verde,0.0593,0.0201,0.0048,0.0015,0.0003
Colombia,0.9017,0.5395,0.2195,0.115,0.0563
Croatia,0.3605,0.1375,0.0737,0.0324,0.0117
DR Congo,0.2429,0.0665,0.0198,0.0053,0.0015
Ecuador,0.4999,0.2632,0.1347,0.0567,0.0259
Egypt,0.4636,0.1049,0.0399,0.0126,0.0029
England,0.7571,0.4143,0.226,0.1103,0.0529
France,0.7646,0.4314,0.2707,0.1514,0.0825
Germany,0.6839,0.3681,0.2193,0.1118,0.0569
Ghana,0.0983,0.021,0.0022,0.0004,0.0001
Ivory Coast,0.4273,0.1342,0.0516,0.0138,0.0035
Japan,0.4465,0.2612,0.1305,0.0554,0.0246
Mexico,0.5001,0.256,0.1235,0.0545,0.0234
Morocco,0.4917,0.3226,0.1519,0.0767,0.0386
Netherlands,0.5083,0.3262,0.1546,0.0745,0.0333
Norway,0.5727,0.2312,0.1023,0.0405,0.0147
Paraguay,0.3161,0.1257,0.0519,0.0198,0.008
Portugal,0.6395,0.3068,0.1982,0.1092,0.056
Senegal,0.3657,0.1982,0.0638,0.0234,0.0098
South Africa,0.3252,0.0822,0.0187,0.0041,0.0006
Spain,0.755,0.458,0.3498,0.2203,0.1336
Sweden,0.2354,0.0748,0.0306,0.0093,0.0019
Switzerland,0.5455,0.2416,0.0806,0.0351,0.0117
United States,0.7412,0.2961,0.0892,0.0317,0.0106
